type,direction,time
input,send,1883.000
input,send,1899.300
input,send,2691.500
input,send,3753.800
input,send,5144.200
input,send,6912.900
input,send,8187.600
input,send,9391.200
input,send,9661.300
input,send,9890.600
input,send,10133.200
input,send,10355.100
input,send,10567.400
input,send,11287.000
input,send,13015.900
input,send,14501.700
input,send,15715.900
input,send,16906.500
input,send,18583.500
input,send,19770.800
input,send,20100.600
input,send,21095.100
input,send,22353.700
input,send,23397.800
input,send,24175.200
input,send,24815.900
input,send,26000.800
input,send,26734.700
input,send,28754.700
input,send,29968.200
input,send,31034.800
input,send,31647.400
input,send,32216.700
input,send,32559.800
input,send,32894.500
input,send,33105.400
input,send,33278.000
input,send,33471.400
input,send,33633.500
input,send,33788.400
input,send,33944.000
input,send,34113.600
input,send,34269.300
input,send,34502.800
input,send,36023.800
input,send,37234.100
input,send,37981.200
input,send,38278.300
input,send,40348.500
input,send,41113.100
input,send,41366.100
input,send,41654.200
input,send,41842.900
input,send,42094.200
input,send,42368.200
input,send,44259.300
input,send,44603.000
input,send,44870.000
input,send,45172.600
input,send,45446.100
input,send,45679.600
input,send,45992.400
input,send,47080.700
input,send,48642.900
input,send,49871.400
input,send,51810.500
input,send,52167.400
input,send,53745.700
input,send,54765.000
input,send,55055.300
input,send,55299.700
input,send,55591.600
input,send,55838.500
input,send,56076.800
input,send,56320.400
input,send,57525.200
input,send,58225.900
input,send,59957.300
input,send,61746.100
audio,recv,1908.900
audio,recv,1924.500
audio,recv,2712.000
audio,recv,3774.100
audio,recv,4066.600
audio,recv,5166.500
audio,recv,6047.100
audio,recv,6933.600
audio,recv,8027.500
audio,recv,8210.400
audio,recv,9411.900
audio,recv,9684.000
audio,recv,9908.700
audio,recv,10005.800
audio,recv,10154.700
audio,recv,10376.100
audio,recv,10588.700
audio,recv,11307.000
audio,recv,11988.500
audio,recv,13035.600
audio,recv,13969.000
audio,recv,14522.300
audio,recv,15739.100
audio,recv,15945.800
audio,recv,16931.800
audio,recv,17926.700
audio,recv,18604.500
audio,recv,19793.700
audio,recv,19907.200
audio,recv,20122.200
audio,recv,21116.100
audio,recv,21886.400
audio,recv,22376.700
audio,recv,23421.000
audio,recv,23868.500
audio,recv,24197.800
audio,recv,24836.300
audio,recv,25848.300
audio,recv,26019.500
audio,recv,26755.700
audio,recv,27827.800
audio,recv,28778.300
audio,recv,29807.700
audio,recv,29989.800
audio,recv,31057.100
audio,recv,31676.900
audio,recv,31787.500
audio,recv,32236.500
audio,recv,32579.900
audio,recv,32917.100
audio,recv,33126.700
audio,recv,33298.500
audio,recv,33492.800
audio,recv,33655.300
audio,recv,33768.200
audio,recv,33811.600
audio,recv,33961.700
audio,recv,34137.300
audio,recv,34290.500
audio,recv,34525.200
audio,recv,35748.000
audio,recv,36047.000
audio,recv,37254.600
audio,recv,37729.700
audio,recv,38000.200
audio,recv,38298.800
audio,recv,39710.700
audio,recv,40368.100
audio,recv,41135.500
audio,recv,41385.500
audio,recv,41675.200
audio,recv,41687.100
audio,recv,41867.100
audio,recv,42115.100
audio,recv,42389.000
audio,recv,43668.500
audio,recv,44279.500
audio,recv,44625.000
audio,recv,44892.000
audio,recv,45193.400
audio,recv,45467.200
audio,recv,45649.600
audio,recv,45700.200
audio,recv,46013.400
audio,recv,47105.200
audio,recv,47626.600
audio,recv,48662.400
audio,recv,49606.900
audio,recv,49893.700
audio,recv,51589.100
audio,recv,51830.900
audio,recv,52190.700
audio,recv,53567.800
audio,recv,53767.800
audio,recv,54786.000
audio,recv,55074.700
audio,recv,55328.400
audio,recv,55547.700
audio,recv,55613.700
audio,recv,55859.600
audio,recv,56097.700
audio,recv,56341.200
audio,recv,57528.600
audio,recv,57547.200
audio,recv,58246.600
audio,recv,59509.100
audio,recv,59979.000
audio,recv,61489.300
audio,recv,61768.200
audio,recv,63469.200
frame,recv,1952.000
frame,recv,1985.900
frame,recv,2019.100
frame,recv,2051.200
frame,recv,2082.800
frame,recv,2117.300
frame,recv,2149.400
frame,recv,2182.600
frame,recv,2215.600
frame,recv,2248.200
frame,recv,2282.400
frame,recv,2314.800
frame,recv,2347.800
frame,recv,2380.800
frame,recv,2413.200
frame,recv,2446.500
frame,recv,2479.400
frame,recv,2513.200
frame,recv,2545.400
frame,recv,2578.500
frame,recv,2611.400
frame,recv,2646.100
frame,recv,2677.100
frame,recv,2709.900
frame,recv,2743.200
frame,recv,2776.400
frame,recv,2810.800
frame,recv,2842.300
frame,recv,2876.600
frame,recv,2908.200
frame,recv,2941.800
frame,recv,2974.800
frame,recv,3008.100
