type,direction,time
input,send,1884.000
input,send,1893.600
input,send,2691.800
input,send,3754.900
input,send,5145.600
input,send,6914.400
input,send,8189.100
input,send,9394.600
input,send,9656.100
input,send,9883.700
input,send,10127.000
input,send,10348.600
input,send,10560.600
input,send,11279.900
input,send,13007.700
input,send,14494.500
input,send,15707.900
input,send,16896.000
input,send,18572.700
input,send,19762.500
input,send,20090.100
input,send,21084.000
input,send,22343.200
input,send,23385.200
input,send,24161.100
input,send,24800.900
input,send,25984.200
input,send,26720.700
input,send,28739.200
input,send,29953.700
input,send,31019.900
input,send,31629.000
input,send,32198.700
input,send,32540.800
input,send,32873.500
input,send,33083.700
input,send,33255.300
input,send,33448.400
input,send,33610.300
input,send,33766.800
input,send,33921.700
input,send,34091.800
input,send,34248.000
input,send,34481.100
input,send,36003.500
input,send,37217.500
input,send,37965.600
input,send,38263.000
input,send,40334.100
input,send,41101.200
input,send,41354.100
input,send,41641.600
input,send,41830.100
input,send,42081.600
input,send,42354.000
input,send,44244.900
input,send,44588.000
input,send,44855.800
input,send,45158.000
input,send,45430.300
input,send,45662.400
input,send,45975.000
input,send,47064.000
input,send,48625.100
input,send,49857.400
input,send,51796.100
input,send,52154.600
input,send,53730.600
input,send,54749.900
input,send,55043.300
input,send,55289.700
input,send,55584.800
input,send,55833.300
input,send,56072.000
input,send,56314.000
input,send,57518.200
input,send,58219.900
input,send,59953.000
input,send,61742.300
audio,recv,1907.500
audio,recv,1920.700
audio,recv,2716.200
audio,recv,3775.600
audio,recv,4067.600
audio,recv,5166.400
audio,recv,6047.100
audio,recv,6934.400
audio,recv,8025.800
audio,recv,8220.900
audio,recv,9414.200
audio,recv,9677.000
audio,recv,9905.700
audio,recv,10007.400
audio,recv,10150.200
audio,recv,10370.600
audio,recv,10585.900
audio,recv,11300.400
audio,recv,11995.100
audio,recv,13029.000
audio,recv,13965.900
audio,recv,14514.500
audio,recv,15728.400
audio,recv,15948.600
audio,recv,16917.500
audio,recv,17927.900
audio,recv,18593.900
audio,recv,19783.600
audio,recv,19905.300
audio,recv,20113.700
audio,recv,21105.100
audio,recv,21888.000
audio,recv,22363.300
audio,recv,23404.900
audio,recv,23867.200
audio,recv,24180.900
audio,recv,24821.000
audio,recv,25845.800
audio,recv,26008.800
audio,recv,26741.100
audio,recv,27827.500
audio,recv,28761.500
audio,recv,29808.200
audio,recv,29974.300
audio,recv,31041.200
audio,recv,31650.000
audio,recv,31788.800
audio,recv,32221.300
audio,recv,32561.400
audio,recv,32894.700
audio,recv,33106.400
audio,recv,33277.600
audio,recv,33469.400
audio,recv,33631.200
audio,recv,33766.600
audio,recv,33786.200
audio,recv,33941.600
audio,recv,34113.300
audio,recv,34271.600
audio,recv,34502.600
audio,recv,35748.300
audio,recv,36023.800
audio,recv,37237.100
audio,recv,37728.000
audio,recv,37984.600
audio,recv,38284.000
audio,recv,39707.100
audio,recv,40355.600
audio,recv,41123.000
audio,recv,41376.700
audio,recv,41662.100
audio,recv,41686.500
audio,recv,41850.400
audio,recv,42101.300
audio,recv,42374.800
audio,recv,43668.100
audio,recv,44266.900
audio,recv,44609.800
audio,recv,44878.700
audio,recv,45178.700
audio,recv,45450.000
audio,recv,45649.900
audio,recv,45684.100
audio,recv,45996.600
audio,recv,47083.500
audio,recv,47629.000
audio,recv,48645.800
audio,recv,49608.700
audio,recv,49891.100
audio,recv,51588.200
audio,recv,51815.200
audio,recv,52176.900
audio,recv,53569.700
audio,recv,53751.000
audio,recv,54771.200
audio,recv,55066.700
audio,recv,55310.600
audio,recv,55548.000
audio,recv,55604.200
audio,recv,55856.200
audio,recv,56092.200
audio,recv,56335.100
audio,recv,57528.500
audio,recv,57541.800
audio,recv,58241.500
audio,recv,59509.600
audio,recv,59974.700
audio,recv,61489.000
audio,recv,61762.900
