type,direction,time
input,send,1748.000
input,send,1754.100
input,send,2552.200
input,send,3613.700
input,send,5003.100
input,send,6770.900
input,send,8046.900
input,send,9251.700
input,send,9513.100
input,send,9740.900
input,send,9982.900
input,send,10203.700
input,send,10415.500
input,send,11136.500
input,send,12862.900
input,send,14349.400
input,send,15563.600
input,send,16752.400
input,send,18428.800
input,send,19617.400
input,send,19946.600
input,send,20938.700
input,send,22198.800
input,send,23240.300
input,send,24017.500
input,send,24656.400
input,send,25841.200
input,send,26575.600
input,send,28595.100
input,send,29807.900
input,send,30873.900
input,send,31484.400
input,send,32053.100
input,send,32393.900
input,send,32725.600
input,send,32937.500
input,send,33108.100
input,send,33299.800
input,send,33460.700
input,send,33615.700
input,send,33770.400
input,send,33939.800
input,send,34097.100
input,send,34330.000
input,send,35851.900
input,send,37060.700
input,send,37808.700
input,send,38105.400
input,send,40175.100
input,send,40940.600
input,send,41192.700
input,send,41479.400
input,send,41666.900
input,send,41919.400
input,send,42190.800
input,send,44080.600
input,send,44422.200
input,send,44690.700
input,send,44994.200
input,send,45266.900
input,send,45498.200
input,send,45810.900
input,send,46900.200
input,send,48461.600
input,send,49690.300
input,send,51630.600
input,send,51988.300
input,send,53565.400
input,send,54584.200
input,send,54874.200
input,send,55119.700
input,send,55412.800
input,send,55657.900
input,send,55894.900
input,send,56136.100
input,send,57338.600
input,send,58038.900
input,send,59770.800
input,send,61560.200
audio,recv,1774.700
audio,recv,1779.800
audio,recv,2571.900
audio,recv,3633.400
audio,recv,3927.900
audio,recv,5025.300
audio,recv,5904.000
audio,recv,6791.500
audio,recv,7884.300
audio,recv,8064.600
audio,recv,9273.500
audio,recv,9532.400
audio,recv,9760.600
audio,recv,9864.800
audio,recv,10005.400
audio,recv,10223.300
audio,recv,10437.000
audio,recv,11158.300
audio,recv,11843.700
audio,recv,12882.800
audio,recv,13823.600
audio,recv,14369.400
audio,recv,15583.400
audio,recv,15804.500
audio,recv,16773.700
audio,recv,17783.100
audio,recv,18448.500
audio,recv,19636.600
audio,recv,19763.100
audio,recv,19967.000
audio,recv,20959.100
audio,recv,21744.800
audio,recv,22220.200
audio,recv,23261.100
audio,recv,23725.500
audio,recv,24038.600
audio,recv,24676.600
audio,recv,25703.200
audio,recv,25864.000
audio,recv,26595.500
audio,recv,27683.300
audio,recv,28614.200
audio,recv,29666.100
audio,recv,29827.100
audio,recv,30892.700
audio,recv,31508.200
audio,recv,31643.100
audio,recv,32072.900
audio,recv,32413.300
audio,recv,32746.200
audio,recv,32956.200
audio,recv,33128.000
audio,recv,33318.500
audio,recv,33480.200
audio,recv,33623.700
audio,recv,33635.700
audio,recv,33788.900
audio,recv,33957.800
audio,recv,34116.000
audio,recv,34348.700
audio,recv,35603.200
audio,recv,35873.300
audio,recv,37082.900
audio,recv,37583.400
audio,recv,37828.400
audio,recv,38124.000
audio,recv,39564.500
audio,recv,40196.100
audio,recv,40960.500
audio,recv,41213.100
audio,recv,41499.100
audio,recv,41548.000
audio,recv,41686.300
audio,recv,41939.200
audio,recv,42210.200
audio,recv,43523.000
audio,recv,44100.900
audio,recv,44441.600
audio,recv,44711.500
audio,recv,45012.200
audio,recv,45286.400
audio,recv,45504.300
audio,recv,45518.100
audio,recv,45832.300
audio,recv,46917.800
audio,recv,47485.500
audio,recv,48480.100
audio,recv,49462.800
audio,recv,49710.800
audio,recv,51443.700
audio,recv,51651.400
audio,recv,52008.500
audio,recv,53424.400
audio,recv,53594.000
audio,recv,54604.800
audio,recv,54894.700
audio,recv,55140.300
audio,recv,55406.500
audio,recv,55433.700
audio,recv,55676.700
audio,recv,55913.700
audio,recv,56156.900
audio,recv,57359.300
audio,recv,57384.800
audio,recv,58057.900
audio,recv,59363.700
audio,recv,59791.600
audio,recv,61342.500
audio,recv,61580.800
audio,recv,63324.200
frame,recv,1812.700
frame,recv,1844.600
frame,recv,1877.600
frame,recv,1908.800
frame,recv,1942.900
frame,recv,1976.200
frame,recv,2008.800
frame,recv,2041.700
frame,recv,2074.300
frame,recv,2108.700
frame,recv,2140.300
frame,recv,2173.700
frame,recv,2206.400
frame,recv,2240.100
frame,recv,2272.900
frame,recv,2305.700
frame,recv,2338.500
frame,recv,2371.600
frame,recv,2405.200
frame,recv,2437.400
frame,recv,2470.500
frame,recv,2504.200
frame,recv,2536.300
frame,recv,2569.100
frame,recv,2601.900
frame,recv,2635.600
frame,recv,2668.100
frame,recv,2701.900
frame,recv,2734.700
frame,recv,2767.800
frame,recv,2802.400
frame,recv,2833.400
frame,recv,2866.700
frame,recv,2901.200
frame,recv,2932.800
frame,recv,2965.400
frame,recv,2998.100
frame,recv,3031.100
frame,recv,3064.800
frame,recv,3097.100
frame,recv,3130.000
frame,recv,3163.500
frame,recv,3197.600
frame,recv,3229.300
frame,recv,3261.900
frame,recv,3294.800
frame,recv,3328.500
frame,recv,3361.200
frame,recv,3396.200
frame,recv,3427.800
frame,recv,3461.600
frame,recv,3493.800
frame,recv,3526.700
frame,recv,3560.300
frame,recv,3592.800
frame,recv,3624.900
frame,recv,3658.000
frame,recv,3692.300
frame,recv,3725.700
frame,recv,3758.500
frame,recv,3790.300
frame,recv,3824.200
frame,recv,3858.000
frame,recv,3889.500
frame,recv,3927.300
frame,recv,3955.000
frame,recv,3988.500
frame,recv,4021.900
frame,recv,4054.500
frame,recv,4087.900
frame,recv,4120.600
frame,recv,4153.200
frame,recv,4186.000
frame,recv,4219.200
frame,recv,4253.900
frame,recv,4284.800
frame,recv,4318.300
frame,recv,4351.600
frame,recv,4386.100
frame,recv,4417.100
frame,recv,4450.500
frame,recv,4483.700
frame,recv,4517.900
frame,recv,4548.900
frame,recv,4582.200
frame,recv,4615.000
frame,recv,4648.700
frame,recv,4680.900
frame,recv,4714.000
frame,recv,4747.700
frame,recv,4782.000
frame,recv,4812.900
frame,recv,4845.700
frame,recv,4878.900
frame,recv,4912.900
frame,recv,4944.900
frame,recv,4978.600
frame,recv,5011.300
frame,recv,5044.000
frame,recv,5076.900
frame,recv,5111.100
frame,recv,5145.000
frame,recv,5177.500
frame,recv,5209.700
frame,recv,5242.500
frame,recv,5276.300
frame,recv,5308.000
frame,recv,5340.500
frame,recv,5374.800
frame,recv,5406.900
frame,recv,5439.400
frame,recv,5472.400
frame,recv,5506.200
frame,recv,5540.300
frame,recv,5572.600
frame,recv,5605.600
frame,recv,5638.900
frame,recv,5672.700
frame,recv,5704.900
frame,recv,5737.400
frame,recv,5772.900
frame,recv,5803.600
frame,recv,5837.600
frame,recv,5869.400
frame,recv,5904.200
frame,recv,5935.400
frame,recv,5968.600
frame,recv,6002.900
frame,recv,6035.400
frame,recv,6069.600
frame,recv,6101.200
frame,recv,6133.800
frame,recv,6166.400
frame,recv,6199.100
frame,recv,6232.900
frame,recv,6265.000
frame,recv,6298.200
frame,recv,6331.700
frame,recv,6365.200
frame,recv,6396.600
frame,recv,6431.300
frame,recv,6462.800
frame,recv,6497.100
frame,recv,6530.200
frame,recv,6563.100
frame,recv,6595.500
frame,recv,6628.900
frame,recv,6661.900
frame,recv,6694.300
frame,recv,6727.800
frame,recv,6759.800
frame,recv,6793.100
frame,recv,6827.000
frame,recv,6860.000
frame,recv,6893.400
frame,recv,6925.100
frame,recv,6959.000
frame,recv,6991.900
frame,recv,7024.200
frame,recv,7056.700
frame,recv,7090.500
frame,recv,7124.000
frame,recv,7155.600
frame,recv,7189.600
frame,recv,7224.200
frame,recv,7255.700
frame,recv,7287.500
frame,recv,7320.800
frame,recv,7355.100
frame,recv,7388.000
frame,recv,7420.400
frame,recv,7453.800
frame,recv,7486.300
frame,recv,7520.100
frame,recv,7552.200
frame,recv,7585.100
frame,recv,7619.200
frame,recv,7651.800
frame,recv,7686.000
frame,recv,7717.600
frame,recv,7753.500
frame,recv,7784.300
frame,recv,7816.300
frame,recv,7848.900
frame,recv,7883.400
frame,recv,7916.300
frame,recv,7948.300
frame,recv,7981.100
frame,recv,8014.500
frame,recv,8048.200
frame,recv,8081.000
frame,recv,8114.100
frame,recv,8147.200
frame,recv,8179.200
frame,recv,8213.100
frame,recv,8245.700
frame,recv,8278.400
frame,recv,8311.600
frame,recv,8344.200
frame,recv,8377.500
frame,recv,8410.500
frame,recv,8443.700
frame,recv,8476.300
frame,recv,8509.700
frame,recv,8542.800
frame,recv,8574.400
frame,recv,8608.500
frame,recv,8642.700
frame,recv,8674.500
frame,recv,8707.400
frame,recv,8741.100
frame,recv,8776.100
frame,recv,8807.200
frame,recv,8839.500
frame,recv,8872.600
frame,recv,8905.800
frame,recv,8938.000
frame,recv,8971.300
frame,recv,9004.800
frame,recv,9039.200
frame,recv,9070.100
frame,recv,9103.500
frame,recv,9136.300
frame,recv,9170.200
frame,recv,9203.100
frame,recv,9234.900
frame,recv,9267.600
frame,recv,9301.500
frame,recv,9333.700
frame,recv,9367.300
frame,recv,9400.900
frame,recv,9434.300
frame,recv,9466.300
frame,recv,9500.900
frame,recv,9532.600
frame,recv,9565.400
frame,recv,9598.500
frame,recv,9632.800
frame,recv,9663.800
frame,recv,9698.300
frame,recv,9730.900
frame,recv,9763.300
frame,recv,9795.900
frame,recv,9829.300
frame,recv,9864.000
frame,recv,9895.300
frame,recv,9928.100
frame,recv,9961.200
frame,recv,9995.100
frame,recv,10027.000
frame,recv,10061.000
frame,recv,10092.700
frame,recv,10127.300
frame,recv,10158.700
frame,recv,10193.300
frame,recv,10225.300
frame,recv,10259.300
frame,recv,10291.400
frame,recv,10324.200
frame,recv,10358.000
frame,recv,10391.600
frame,recv,10424.000
frame,recv,10456.100
frame,recv,10488.800
frame,recv,10522.100
frame,recv,10555.300
frame,recv,10588.300
frame,recv,10621.000
frame,recv,10657.100
frame,recv,10687.600
frame,recv,10721.800
frame,recv,10752.900
frame,recv,10789.000
frame,recv,10819.300
frame,recv,10852.400
frame,recv,10885.300
frame,recv,10919.100
frame,recv,10951.800
frame,recv,10984.500
frame,recv,11017.400
frame,recv,11051.200
frame,recv,11083.400
frame,recv,11117.000
frame,recv,11149.700
frame,recv,11183.100
frame,recv,11216.300
frame,recv,11247.600
frame,recv,11280.700
frame,recv,11314.500
frame,recv,11346.700
frame,recv,11381.500
frame,recv,11413.700
frame,recv,11446.600
frame,recv,11480.300
frame,recv,11513.300
frame,recv,11546.700
frame,recv,11577.900
frame,recv,11611.900
frame,recv,11645.100
frame,recv,11677.100
frame,recv,11712.700
frame,recv,11743.400
frame,recv,11777.400
frame,recv,11808.800
frame,recv,11843.100
frame,recv,11875.800
frame,recv,11909.300
frame,recv,11940.700
frame,recv,11973.800
frame,recv,12006.800
frame,recv,12040.300
frame,recv,12074.000
frame,recv,12106.400
frame,recv,12138.900
frame,recv,12173.100
frame,recv,12204.600
frame,recv,12238.500
frame,recv,12270.400
frame,recv,12305.100
frame,recv,12337.500
frame,recv,12370.100
frame,recv,12403.500
frame,recv,12436.600
frame,recv,12470.400
frame,recv,12502.100
frame,recv,12535.000
frame,recv,12568.800
frame,recv,12600.900
frame,recv,12634.800
frame,recv,12667.900
frame,recv,12704.800
frame,recv,12733.400
frame,recv,12767.400
frame,recv,12800.200
frame,recv,12833.500
frame,recv,12865.700
frame,recv,12898.300
frame,recv,12931.000
frame,recv,12964.600
frame,recv,12997.300
frame,recv,13030.000
frame,recv,13062.800
frame,recv,13096.800
frame,recv,13129.700
frame,recv,13162.700
frame,recv,13195.000
frame,recv,13228.300
frame,recv,13260.900
frame,recv,13294.300
frame,recv,13327.000
frame,recv,13361.300
frame,recv,13392.800
frame,recv,13426.100
frame,recv,13459.300
frame,recv,13492.600
frame,recv,13524.300
frame,recv,13558.000
frame,recv,13591.400
frame,recv,13625.400
frame,recv,13657.100
frame,recv,13691.300
frame,recv,13722.900
frame,recv,13756.900
frame,recv,13788.900
frame,recv,13822.600
frame,recv,13857.000
frame,recv,13888.400
frame,recv,13921.300
frame,recv,13953.400
frame,recv,13987.600
frame,recv,14020.000
frame,recv,14052.800
frame,recv,14086.200
frame,recv,14119.800
frame,recv,14151.800
frame,recv,14184.500
frame,recv,14218.400
frame,recv,14252.200
frame,recv,14284.400
frame,recv,14316.600
frame,recv,14350.100
frame,recv,14382.600
frame,recv,14416.000
frame,recv,14449.400
frame,recv,14482.400
frame,recv,14515.600
frame,recv,14547.800
frame,recv,14581.100
frame,recv,14615.900
frame,recv,14647.600
frame,recv,14680.700
frame,recv,14716.400
frame,recv,14750.200
frame,recv,14779.200
frame,recv,14811.800
frame,recv,14846.200
frame,recv,14878.000
frame,recv,14911.300
frame,recv,14944.200
frame,recv,14977.600
frame,recv,15009.800
frame,recv,15043.100
frame,recv,15078.200
frame,recv,15108.400
frame,recv,15141.700
frame,recv,15178.600
frame,recv,15207.700
frame,recv,15241.000
frame,recv,15274.500
frame,recv,15309.100
frame,recv,15340.200
frame,recv,15374.100
frame,recv,15407.000
frame,recv,15440.400
frame,recv,15473.000
frame,recv,15505.800
frame,recv,15538.600
frame,recv,15571.900
frame,recv,15605.500
frame,recv,15638.100
frame,recv,15670.000
frame,recv,15704.800
frame,recv,15736.200
frame,recv,15770.200
frame,recv,15803.300
frame,recv,15835.300
frame,recv,15868.200
frame,recv,15901.200
frame,recv,15934.500
frame,recv,15967.800
frame,recv,15999.500
frame,recv,16033.200
frame,recv,16066.100
frame,recv,16099.900
frame,recv,16131.500
frame,recv,16164.900
frame,recv,16198.100
frame,recv,16231.600
frame,recv,16265.500
frame,recv,16297.500
frame,recv,16330.900
frame,recv,16364.300
frame,recv,16396.300
frame,recv,16429.000
frame,recv,16462.900
frame,recv,16495.800
frame,recv,16528.100
frame,recv,16561.800
frame,recv,16594.900
frame,recv,16627.600
frame,recv,16659.700
frame,recv,16693.200
frame,recv,16726.300
frame,recv,16759.700
frame,recv,16792.100
frame,recv,16824.600
frame,recv,16858.300
frame,recv,16892.100
frame,recv,16924.900
