type,direction,time
input,send,184.200
input,send,196.500
input,send,1526.300
input,send,1894.800
input,send,2355.100
input,send,2942.000
input,send,3532.300
input,send,4371.100
input,send,4770.800
input,send,6882.100
input,send,7810.300
input,send,8927.800
input,send,9198.700
input,send,9769.400
input,send,10753.500
audio,recv,185.100
audio,recv,197.100
audio,recv,1527.100
audio,recv,1895.500
audio,recv,2344.200
audio,recv,2355.800
audio,recv,2942.800
audio,recv,3532.900
audio,recv,4092.700
audio,recv,4372.100
audio,recv,4771.500
audio,recv,5809.000
audio,recv,6882.600
audio,recv,7558.100
audio,recv,7811.000
audio,recv,8928.400
audio,recv,9199.300
audio,recv,9273.700
audio,recv,9770.100
audio,recv,10754.300
audio,recv,11022.200
audio,recv,12242.500
frame,recv,231.000
frame,recv,263.800
frame,recv,296.700
frame,recv,329.500
frame,recv,362.300
frame,recv,395.200
frame,recv,427.900
frame,recv,461.900
frame,recv,495.000
frame,recv,527.700
frame,recv,560.300
frame,recv,593.200
frame,recv,626.900
frame,recv,659.700
frame,recv,692.400
frame,recv,725.700
frame,recv,759.200
frame,recv,790.800
frame,recv,824.600
frame,recv,857.400
frame,recv,890.300
frame,recv,923.700
frame,recv,956.600
frame,recv,989.500
frame,recv,1022.700
frame,recv,1055.500
frame,recv,1088.300
frame,recv,1121.100
frame,recv,1154.900
frame,recv,1187.600
frame,recv,1221.000
frame,recv,1253.700
frame,recv,1286.400
frame,recv,1319.000
frame,recv,1352.800
frame,recv,1385.600
frame,recv,1418.200
frame,recv,1451.100
frame,recv,1484.800
frame,recv,1517.500
frame,recv,1550.900
frame,recv,1583.200
frame,recv,1616.100
frame,recv,1649.400
frame,recv,1682.300
frame,recv,1715.000
frame,recv,1748.800
frame,recv,1781.500
frame,recv,1814.200
frame,recv,1846.900
frame,recv,1880.600
frame,recv,1913.100
frame,recv,1945.800
frame,recv,1979.600
frame,recv,2012.700
frame,recv,2045.700
frame,recv,2078.500
frame,recv,2111.700
frame,recv,2144.700
frame,recv,2177.700
frame,recv,2210.500
frame,recv,2243.400
frame,recv,2276.100
frame,recv,2309.900
frame,recv,2342.600
frame,recv,2376.200
frame,recv,2408.500
frame,recv,2441.300
frame,recv,2474.000
frame,recv,2508.200
frame,recv,2540.000
frame,recv,2573.800
frame,recv,2607.000
frame,recv,2639.700
frame,recv,2672.500
frame,recv,2705.300
frame,recv,2737.900
frame,recv,2771.800
frame,recv,2804.400
frame,recv,2837.100
frame,recv,2870.800
frame,recv,2903.200
