code,time
57,70322524
57,70323088
57,70324664
57,70325646
57,70327318
57,70328738
57,70329796
57,70330168
57,70330460
57,70330742
57,70331040
57,70332006
57,70333633
57,70335254
57,70336478
57,70337797
57,70339358
57,70340441
57,70341191
57,70342561
57,70343497
57,70344167
57,70344550
57,70345587
57,70346625
57,70348750
57,70349233
57,70350407
57,70351268
57,70352274
57,70352567
57,70352824
57,70353186
57,70353594
57,70353775
57,70353952
57,70354108
57,70354284
57,70354465
57,70354621
57,70354798
57,70355055
57,70355316
57,70356898
57,70358026
57,70358539
57,70359325
57,70361475
57,70361676
57,70361878
57,70362210
57,70362457
57,70362673
57,70362875
57,70363086
57,70363308
57,70365191
57,70365448
57,70365760
57,70365987
57,70366203
57,70366510
57,70366828
57,70367306
57,70369079
57,70370388
57,70371642
57,70373248
57,70374779
57,70375867
57,70376063
57,70376274
57,70376491
57,70376682
57,70376869
57,70377070
57,70377312
57,70378576
57,70379331
57,70381139
57,70382710
57,70384205
57,70385545
57,70386436
57,70387167
57,70388430
