code,time
57,8810697
57,8811442
57,8812509
57,8813904
57,8815677
57,8816956
57,8818165
57,8818431
57,8818663
57,8818910
57,8819136
57,8819353
57,8820078
57,8821810
57,8823301
57,8824519
57,8825713
57,8827395
57,8828588
57,8828921
57,8829918
57,8831182
57,8832229
57,8833010
57,8833654
57,8834843
57,8835583
57,8837607
57,8838826
57,8839898
57,8840513
57,8841087
57,8841434
57,8841772
57,8841988
57,8842164
57,8842361
57,8842527
57,8842688
57,8842847
57,8843021
57,8843182
57,8843418
57,8844944
57,8846158
57,8846908
57,8847210
57,8849285
57,8850055
57,8850312
57,8850604
57,8850796
57,8851052
57,8851329
57,8853223
57,8853570
57,8853842
57,8854149
57,8854426
57,8854663
57,8854980
57,8856073
57,8857639
57,8858873
57,8860817
57,8861179
57,8862760
57,8863783
57,8864078
57,8864327
57,8864624
57,8864875
57,8865117
57,8865364
57,8866573
57,8867278
57,8869015
57,8870808
57,8872303
