code,time
57,65482567
57,65483273
57,65484839
57,65485912
57,65487574
57,65488953
57,65489930
57,65490333
57,65490545
57,65490756
57,65490953
57,65491622
57,65493400
57,65494593
57,65495857
57,65497353
57,65499050
57,65500128
57,65500994
57,65501810
57,65502968
57,65503784
57,65504761
57,65505682
57,65506611
57,65508608
57,65509771
57,65511035
57,65511906
57,65512712
57,65513402
57,65513653
57,65513820
57,65513986
57,65514152
57,65514303
57,65514454
57,65514615
57,65514897
57,65515079
57,65515245
57,65515738
57,65517350
57,65518372
57,65518971
57,65520875
57,65522008
57,65522244
57,65522486
57,65522703
57,65522944
57,65523221
57,65525105
57,65525321
57,65525553
57,65525749
57,65525931
57,65526107
57,65526278
57,65526535
57,65526868
57,65527738
57,65529430
57,65530790
57,65532552
57,65534124
57,65535226
57,65535644
57,65535876
57,65536103
57,65536309
57,65536475
57,65536661
57,65536898
57,65537382
57,65538605
57,65539799
57,65541717
