Run,AvgAudioLatency,AvgFrameLatency
1,19.71250000000002,16.30624999999985
2,19.40000000000005,15.931249999999906
3,21.21874999999997,20.850000000000136
4,20.181250000000077,19.093750000000043
5,19.862500000000054,18.500000000000128
