type,direction,time
input,send,2757.900
input,send,2758.300
input,send,3625.500
input,send,4688.800
input,send,6079.700
input,send,7849.700
input,send,9124.700
input,send,10328.100
input,send,10588.200
input,send,10815.600
input,send,11056.300
input,send,11277.500
input,send,11490.700
input,send,12210.100
input,send,13936.200
input,send,15422.500
input,send,16637.500
input,send,17828.200
input,send,19506.900
input,send,20696.100
input,send,21024.100
input,send,22015.800
input,send,23275.700
input,send,24317.000
input,send,25093.500
input,send,25733.900
input,send,26917.800
input,send,27652.000
input,send,29671.100
input,send,30885.800
input,send,31952.500
input,send,32564.000
input,send,33133.700
input,send,33475.400
input,send,33809.000
input,send,34018.900
input,send,34191.300
input,send,34383.100
input,send,34544.600
input,send,34701.300
input,send,34861.200
input,send,35031.800
input,send,35188.500
input,send,35419.000
input,send,36939.100
input,send,38148.500
input,send,38895.600
input,send,39192.900
input,send,41264.600
input,send,42028.900
input,send,42281.800
input,send,42568.700
input,send,42755.400
input,send,43006.500
input,send,43277.400
input,send,45165.700
input,send,45507.600
input,send,45774.200
input,send,46077.200
input,send,46347.900
input,send,46581.100
input,send,46892.900
input,send,47982.400
audio,recv,2865.000
audio,recv,2875.500
audio,recv,3755.800
audio,recv,4806.000
audio,recv,5020.500
audio,recv,6196.100
audio,recv,7001.000
audio,recv,7965.200
audio,recv,8983.800
audio,recv,9236.700
audio,recv,10440.700
audio,recv,10704.100
audio,recv,10930.800
audio,recv,10959.200
audio,recv,11170.200
audio,recv,11390.100
audio,recv,11603.700
audio,recv,12323.100
audio,recv,12939.300
audio,recv,14050.200
audio,recv,14918.600
audio,recv,15537.000
audio,recv,16750.100
audio,recv,16898.800
audio,recv,17942.700
audio,recv,18880.000
audio,recv,19621.400
audio,recv,20817.100
audio,recv,20862.000
audio,recv,21137.700
audio,recv,22126.300
audio,recv,22838.900
audio,recv,23391.900
audio,recv,24445.200
audio,recv,24818.600
audio,recv,25206.400
audio,recv,25846.900
audio,recv,26801.100
audio,recv,27029.400
audio,recv,27763.000
audio,recv,28782.100
audio,recv,29784.800
audio,recv,30758.900
audio,recv,30999.100
audio,recv,32066.000
audio,recv,32676.200
audio,recv,32738.300
audio,recv,33252.100
audio,recv,33590.800
audio,recv,33924.900
audio,recv,34130.300
audio,recv,34306.200
audio,recv,34498.500
audio,recv,34655.700
audio,recv,34719.700
audio,recv,34813.600
audio,recv,34975.400
audio,recv,35144.300
audio,recv,35301.700
audio,recv,35536.300
audio,recv,36703.100
audio,recv,37049.900
audio,recv,38263.300
audio,recv,38680.000
audio,recv,39010.500
audio,recv,39304.600
audio,recv,40659.600
audio,recv,41375.800
audio,recv,42142.800
audio,recv,42398.300
audio,recv,42645.300
audio,recv,42684.500
audio,recv,42872.300
audio,recv,43123.200
audio,recv,43393.300
audio,recv,44620.500
audio,recv,45280.800
audio,recv,45626.800
audio,recv,45889.300
audio,recv,46189.300
audio,recv,46462.400
audio,recv,46600.500
audio,recv,46692.100
audio,recv,47009.100
audio,recv,48022.600
frame,recv,2888.300
frame,recv,2920.600
frame,recv,2954.000
frame,recv,2988.400
frame,recv,3018.700
frame,recv,3050.800
frame,recv,3087.000
frame,recv,3118.400
frame,recv,3150.600
frame,recv,3183.800
frame,recv,3216.800
frame,recv,3249.900
frame,recv,3283.100
frame,recv,3315.700
frame,recv,3350.800
frame,recv,3381.700
frame,recv,3417.300
frame,recv,3448.300
frame,recv,3480.700
frame,recv,3513.800
frame,recv,3548.300
frame,recv,3580.100
frame,recv,3613.400
frame,recv,3645.700
frame,recv,3679.200
frame,recv,3712.200
frame,recv,3745.900
frame,recv,3777.300
frame,recv,3810.900
frame,recv,3845.300
frame,recv,3877.400
frame,recv,3909.500
frame,recv,3941.800
frame,recv,3975.600
frame,recv,4010.000
frame,recv,4041.000
frame,recv,4074.700
frame,recv,4108.100
frame,recv,4141.700
frame,recv,4174.700
frame,recv,4206.900
frame,recv,4240.000
frame,recv,4273.200
frame,recv,4306.100
frame,recv,4338.600
frame,recv,4374.900
frame,recv,4404.200
frame,recv,4438.300
frame,recv,4471.200
frame,recv,4504.200
frame,recv,4536.100
frame,recv,4570.100
frame,recv,4602.700
frame,recv,4637.800
frame,recv,4669.300
frame,recv,4703.000
frame,recv,4734.900
frame,recv,4770.000
frame,recv,4800.400
frame,recv,4836.200
frame,recv,4867.700
frame,recv,4899.800
frame,recv,4932.600
frame,recv,4965.700
frame,recv,4998.800
frame,recv,5032.200
frame,recv,5064.900
frame,recv,5098.200
frame,recv,5132.200
frame,recv,5164.000
frame,recv,5196.000
frame,recv,5231.200
frame,recv,5264.000
frame,recv,5295.900
frame,recv,5328.200
frame,recv,5362.100
frame,recv,5394.900
frame,recv,5427.600
frame,recv,5461.900
frame,recv,5495.500
frame,recv,5527.500
frame,recv,5560.000
frame,recv,5592.900
frame,recv,5627.900
frame,recv,5658.800
frame,recv,5693.900
frame,recv,5724.500
frame,recv,5758.200
frame,recv,5790.600
frame,recv,5822.900
frame,recv,5857.100
frame,recv,5890.400
frame,recv,5922.600
frame,recv,5955.800
frame,recv,5989.000
frame,recv,6021.000
frame,recv,6054.200
frame,recv,6087.500
frame,recv,6122.000
frame,recv,6153.400
frame,recv,6186.600
frame,recv,6219.900
frame,recv,6252.700
frame,recv,6286.400
frame,recv,6319.400
frame,recv,6359.800
frame,recv,6385.500
frame,recv,6419.100
frame,recv,6450.400
frame,recv,6484.200
frame,recv,6518.800
frame,recv,6550.900
frame,recv,6583.000
frame,recv,6621.500
frame,recv,6651.600
frame,recv,6681.900
frame,recv,6715.400
frame,recv,6749.300
frame,recv,6782.300
frame,recv,6813.400
frame,recv,6846.800
frame,recv,6881.400
frame,recv,6914.700
frame,recv,6946.400
frame,recv,6982.900
frame,recv,7011.600
frame,recv,7045.000
frame,recv,7077.300
frame,recv,7110.800
frame,recv,7144.300
frame,recv,7176.600
frame,recv,7209.600
frame,recv,7243.100
frame,recv,7274.700
frame,recv,7308.300
frame,recv,7343.900
frame,recv,7374.800
frame,recv,7407.700
frame,recv,7441.200
frame,recv,7474.300
frame,recv,7506.500
frame,recv,7539.500
frame,recv,7572.400
