type,direction,time
input,send,1768.000
input,send,1771.600
input,send,2566.600
input,send,3627.400
input,send,5016.800
input,send,6786.400
input,send,8060.500
input,send,9264.500
input,send,9525.700
input,send,9753.100
input,send,9996.100
input,send,10216.500
input,send,10427.900
input,send,11146.900
input,send,12875.100
input,send,14360.800
input,send,15574.300
input,send,16762.600
input,send,18439.700
input,send,19627.600
input,send,19955.600
input,send,20946.900
input,send,22204.900
input,send,23245.600
input,send,24023.400
input,send,24663.400
input,send,25847.500
input,send,26583.600
input,send,28601.600
input,send,29819.600
input,send,30886.900
input,send,31496.300
input,send,32064.300
input,send,32407.500
input,send,32740.200
input,send,32951.000
input,send,33121.700
input,send,33313.000
input,send,33474.300
input,send,33630.600
input,send,33784.800
input,send,33955.000
input,send,34112.300
input,send,34341.900
input,send,35864.000
input,send,37072.800
input,send,37817.800
input,send,38115.300
input,send,40185.300
input,send,40951.200
input,send,41203.200
input,send,41490.700
input,send,41677.900
input,send,41928.800
input,send,42201.900
input,send,44090.600
input,send,44434.200
input,send,44700.200
input,send,45003.200
input,send,45276.300
input,send,45508.300
input,send,45819.700
input,send,46909.600
input,send,48469.400
input,send,49699.600
input,send,51637.700
input,send,51994.400
input,send,53570.100
input,send,54589.900
input,send,54879.800
input,send,55124.400
input,send,55415.800
input,send,55661.800
input,send,55899.000
input,send,56139.600
input,send,57343.900
input,send,58042.700
input,send,59775.400
input,send,61563.200
audio,recv,1794.300
audio,recv,1796.000
audio,recv,2588.300
audio,recv,3648.500
audio,recv,3941.400
audio,recv,5037.200
audio,recv,5920.600
audio,recv,6807.400
audio,recv,7901.000
audio,recv,8080.300
audio,recv,9283.900
audio,recv,9545.400
audio,recv,9773.100
audio,recv,9880.000
audio,recv,10019.100
audio,recv,10235.300
audio,recv,10447.900
audio,recv,11171.100
audio,recv,11860.100
audio,recv,12894.800
audio,recv,13840.800
audio,recv,14378.800
audio,recv,15594.600
audio,recv,15819.700
audio,recv,16783.100
audio,recv,17800.400
audio,recv,18459.400
audio,recv,19649.200
audio,recv,19780.700
audio,recv,19977.500
audio,recv,20967.700
audio,recv,21759.700
audio,recv,22225.000
audio,recv,23264.700
audio,recv,23739.900
audio,recv,24042.700
audio,recv,24683.000
audio,recv,25720.700
audio,recv,25868.200
audio,recv,26602.200
audio,recv,27700.000
audio,recv,28627.300
audio,recv,29681.200
audio,recv,29839.900
audio,recv,30909.800
audio,recv,31514.600
audio,recv,31658.800
audio,recv,32084.400
audio,recv,32427.500
audio,recv,32761.400
audio,recv,32970.900
audio,recv,33141.300
audio,recv,33336.300
audio,recv,33495.000
audio,recv,33639.000
audio,recv,33656.300
audio,recv,33804.900
audio,recv,33975.200
audio,recv,34131.400
audio,recv,34363.800
audio,recv,35619.600
audio,recv,35884.700
audio,recv,37092.700
audio,recv,37598.900
audio,recv,37835.900
audio,recv,38137.500
audio,recv,39580.000
audio,recv,40204.200
audio,recv,40971.700
audio,recv,41222.400
audio,recv,41513.900
audio,recv,41560.600
audio,recv,41696.100
audio,recv,41949.600
audio,recv,42221.200
audio,recv,43541.500
audio,recv,44111.400
audio,recv,44453.100
audio,recv,44721.800
audio,recv,45022.700
audio,recv,45297.100
audio,recv,45521.500
audio,recv,45537.700
audio,recv,45838.800
audio,recv,46928.300
audio,recv,47500.200
audio,recv,48488.300
audio,recv,49478.700
audio,recv,49721.000
audio,recv,51459.300
audio,recv,51659.600
audio,recv,52014.500
audio,recv,53440.000
audio,recv,53590.900
audio,recv,54612.500
audio,recv,54901.500
audio,recv,55144.500
audio,recv,55419.900
audio,recv,55437.100
audio,recv,55682.100
audio,recv,55918.800
audio,recv,56160.700
audio,recv,57366.600
audio,recv,57399.400
audio,recv,58061.100
audio,recv,59380.300
audio,recv,59794.100
audio,recv,61359.400
audio,recv,61582.100
audio,recv,63339.500
frame,recv,1828.100
frame,recv,1860.800
frame,recv,1895.300
frame,recv,1925.300
frame,recv,1956.900
frame,recv,1991.400
frame,recv,2023.700
frame,recv,2058.000
frame,recv,2090.100
frame,recv,2123.900
frame,recv,2158.200
frame,recv,2191.500
frame,recv,2222.300
frame,recv,2255.800
frame,recv,2287.900
frame,recv,2320.800
